token_input,token_output
FMTTUJXGBAX,QHPRAZBYXXC
XAEOSKXQDTE,AMWPQHUNYFH
GXCZTDHXJCD,BSMTSYIPLGC
FBNBQJMCCUS,QUYODNJDRGY
LQAGSAXXZGA,HJEWLJEIHMC
LHWEACFLTXO,KVEHCOLFJXI
JCVMPBIXBOS,WWKHIBRESEG
FHIGKNSZQYV,DIUZBDODDQJ
TFJGEKVMMBM,QYASEEPAZBQ
GPKBSRAMCMP,WLEXBIYKJKW
DQBAGUQVXQX,UYALNUENETV
EFMVYVRNDFE,HBRYOHCYEDA
ZMHASFZPAHZ,XOYMEQBYKMD
KUFEHUWNCDQ,HERDHLDOECI
ATEEFOPHRHD,JEEZQUHIMKX
NXEGAAERUMA,ZXXUXTONIFM
